year,month,etype,event_group,event_count,display_count,suppression_status,cell_available,period_status,coverage_end
2012,5,AMI,AMI,39,39,none,1,complete,2024-01-31
2012,5,All CVD,All CVD,97,97,none,1,complete,2024-01-31
2012,6,Stroke,Stroke,60,60,none,1,complete,2024-01-31
2012,6,AMI,AMI,21,21,none,1,complete,2024-01-31
2012,6,All CVD,All CVD,81,81,none,1,complete,2024-01-31
2012,7,Stroke,Stroke,47,47,none,1,complete,2024-01-31
2012,7,AMI,AMI,29,29,none,1,complete,2024-01-31
2012,7,All CVD,All CVD,76,76,none,1,complete,2024-01-31
2012,8,Stroke,Stroke,62,62,none,1,complete,2024-01-31
2012,8,AMI,AMI,38,38,none,1,complete,2024-01-31
2012,8,All CVD,All CVD,100,100,none,1,complete,2024-01-31
2012,9,Stroke,Stroke,42,42,none,1,complete,2024-01-31
2012,9,AMI,AMI,36,36,none,1,complete,2024-01-31
2012,9,All CVD,All CVD,78,78,none,1,complete,2024-01-31
2012,10,Stroke,Stroke,48,48,none,1,complete,2024-01-31
2012,10,AMI,AMI,30,30,none,1,complete,2024-01-31
2012,10,All CVD,All CVD,78,78,none,1,complete,2024-01-31
2012,11,Stroke,Stroke,31,31,none,1,complete,2024-01-31
2012,11,AMI,AMI,31,31,none,1,complete,2024-01-31
2012,11,All CVD,All CVD,62,62,none,1,complete,2024-01-31
2012,12,Stroke,Stroke,41,41,none,1,complete,2024-01-31
2012,12,AMI,AMI,43,43,none,1,complete,2024-01-31
2012,12,All CVD,All CVD,84,84,none,1,complete,2024-01-31
2013,1,Stroke,Stroke,73,73,none,1,complete,2024-01-31
2013,1,AMI,AMI,36,36,none,1,complete,2024-01-31
2013,1,All CVD,All CVD,109,109,none,1,complete,2024-01-31
2013,2,Stroke,Stroke,55,55,none,1,complete,2024-01-31
2013,2,AMI,AMI,34,34,none,1,complete,2024-01-31
2013,2,All CVD,All CVD,89,89,none,1,complete,2024-01-31
2013,3,Stroke,Stroke,58,58,none,1,complete,2024-01-31
2013,3,AMI,AMI,32,32,none,1,complete,2024-01-31
