metric_id,release_id,period_type,period,period_start,period_year,period_month,period_quarter,period_complete,event_type,sex,age_group,source_status,statistic,value,display_value,unit,numerator,denominator,comparison_n,status_flag,sdc_policy,step4_primary_flag,step4_related_flag,previous_release_id,previous_release_found,previous_value,temporal_increment,temporal_check,step5_temporal_flag,step5_complementary_flag,step5_derived_flag,suppression_status,disclosure_note,suppression_note
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,ami,all,all,hospital_registered,annual_count,119,119,count,119,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,ami,all,all,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,ami,female,all,hospital_registered,annual_count,45,45,count,45,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,ami,female,all,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,ami,male,all,hospital_registered,annual_count,74,74,count,74,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,ami,male,all,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,stroke,all,all,hospital_registered,annual_count,385,385,count,385,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,stroke,all,all,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,stroke,female,all,hospital_registered,annual_count,201,201,count,201,,,final,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
CVD-BURDEN-001,cvd_2024_01,annual,2011,2011-01-01,2011,,,1,stroke,female,all,hospital_registered,annual_previous_5yr_mean,,,count,,,1,insufficient_history,bnr_sdc_v1,0,0,cvd_2023_12,,,,not_applicable,0,0,0,none,No disclosure restriction identified.,No disclosure restriction identified.
