yaxis,srr,lb_srr,ub_srr
Stroke (vs. AMI),2.341,2.271,2.413
CVD in Men (vs. Women),1.387,1.333,1.443
2012-2013 (vs. 2010-11),1.317,1.168,1.485
2014-2015,1.669,1.49,1.871
2016-2017,1.808,1.618,2.023
2018-2019,1.971,1.768,2.2
2020-2021,1.673,1.497,1.873
2022-2023,1.605,1.435,1.797
2012-2013,1.122,1.048,1.201
2014-2015,1.116,1.043,1.195
2016-2017,1.248,1.169,1.333
2018-2019,1.264,1.185,1.35
2020-2021,1.159,1.085,1.238
2022-2023,1.218,1.141,1.3
