level,title,anchor_text,required_full_report
1,The BNR Refit,The BNR Refit,yes
2,Building on a strong national resource,Building on a strong national resource,yes
2,What the review identified,What the review identified,yes
2,How each finding became an improvement,How each finding became an improvement,yes
2,From approved data to public information,From approved data to public information,yes
2,Current progress,The BNR refit: current progress,yes
