metric_id,release_id,period_type,period,period_start,period_year,period_month,event_type,sex,age_group,age_group_order,source_status,statistic,value,unit,numerator,denominator,comparison_n,status_flag
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,all,under_45,1,hospital_registered,annual_count,26,count,26,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,all,45_54,2,hospital_registered,annual_count,58,count,58,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,all,55_64,3,hospital_registered,annual_count,63,count,63,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,all,65_74,4,hospital_registered,annual_count,82,count,82,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,all,75_84,5,hospital_registered,annual_count,115,count,115,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,all,85_plus,6,hospital_registered,annual_count,85,count,85,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,female,all,0,hospital_registered,annual_count,226,count,226,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,female,under_45,1,hospital_registered,annual_count,10,count,10,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,female,45_54,2,hospital_registered,annual_count,22,count,22,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,female,55_64,3,hospital_registered,annual_count,29,count,29,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,female,65_74,4,hospital_registered,annual_count,37,count,37,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,female,75_84,5,hospital_registered,annual_count,69,count,69,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,female,85_plus,6,hospital_registered,annual_count,59,count,59,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,male,all,0,hospital_registered,annual_count,203,count,203,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,male,under_45,1,hospital_registered,annual_count,16,count,16,,,final
CVD-BURDEN-001,cvd_2023_12,annual,2010,2010-01-01,2010,,stroke,male,45_54,2,hospital_registered,annual_count,36,count,36,,,final
